,Unnamed: 0,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo,avg_registration_time
202,202,203,98,"279,337,338,427,",07/05/2017,2017-07-07,Nangal,1900-01-04,18:20:00,Bus/Truck,0,0,0,Bus/Truck,0,1,0,Head on,0,Intersection,Approaching from wrong side,MP di kothi nangal,0,1,0,31.358310999999997,76.38194200000001,SH,SH-22,Urban,"31.358311,76.381942",2
203,203,204,100,"279,337,338,427,304-A",07/10/2017,2017-07-11,Nangal,1900-01-02,21:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Mid Block,Approaching from wrong side,BRAHMPUR,1,0,0,31.3842533,76.3721895,Muncipality Road,Muncipality Road,Urban,"31.3842533,76.3721895",1
204,204,205,109,279337338427,07/03/2017,2017-07-25,Nangal,1900-01-02,17:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit from Back,0,Mid Block,Over Speeding,nangal,0,1,0,31.370444199999998,76.3754854,SH,SH-22,Urban,"31.3704442,76.3754854",22
205,205,206,112,279337338427,07/25/2017,2017-07-29,Nangal,1900-01-03,12:30:00,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Head on,0,Mid Block,Approaching from wrong side,BHALLAN,0,1,0,31.275978100000003,76.35964990000001,SH,SH-22,Rural,"31.2759781,76.3596499",4
206,206,207,116,"279,427,304-A",08/03/2017,2017-08-04,Nangal,1900-01-05,14:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Intersection,Over Speeding,MP di kothi nangal,1,0,0,31.3583,76.381986,SH,SH-22,Urban,"31.3583,76.381986",1
207,207,208,129,279338427,08/17/2017,2017-08-29,Nangal,1900-01-05,15:54:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head on,0,Mid Block,Approaching from wrong side,BRAHMPUR,0,1,0,31.3842533,76.38856136,Muncipality Road,Muncipality Road,Urban,"31.3842533,76.38856136",12
208,208,209,133,"279,304-A,337,427",09/05/2017,2017-09-05,Nangal,1900-01-03,12:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,2,0,0,Hit from Side,0,Intersection,Over Speeding,naya nangal,2,0,0,31.378928000000002,76.343867,SH,SH-25,Rural,"31.378928,76.343867",0
209,209,210,138,279337338427,09/01/2017,2017-09-14,Nangal,1900-01-06,16:00:00,Two Wheeler,0,0,0,Car/Jeep/Van,0,1,0,Head on,0,Intersection,Approaching from wrong side,Raipur,0,1,0,31.3404104,76.3961028,SH,SH-22,Rural,"31.3404104,76.3961028",13
210,210,211,140,"279,337,338,",08/18/2017,2017-09-16,Nangal,1900-01-06,09:30:00,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Hit from Side,0,Intersection,Over Speeding,naya nangal,0,1,0,31.380086,76.363125,SH,SH-25,Rural,"31.380086,76.363125",29
211,211,212,166,"279,304-A,427",11/08/2017,2017-11-08,Nangal,1900-01-04,06:20:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Raipur,1,0,0,31.354007399999997,76.3834434,SH,SH-22,Rural,"31.3540074,76.3834434",0
212,212,213,171,"279,337,338,427,",11/13/2017,2017-11-15,Nangal,1900-01-02,14:40:00,Two Wheeler,0,0,0,Two Wheeler,0,2,0,Hit from Side,0,Mid Block,Over Speeding,BRAHMPUR,0,2,0,31.3842533,76.3721895,Muncipality Road,Muncipality Road,Urban,"31.3842533,76.3721895",2
213,213,214,174,"279,337,338,427,304-A",11/17/2017,2017-11-18,Nangal,1900-01-06,18:03:00,Two Wheeler,0,0,0,Two Wheeler,1,1,0,Head on,0,Intersection,Over Speeding,badlari,1,1,0,31.3416963,76.3950177,SH,SH-22,Rural,"31.3416963,76.3950177",1
214,214,215,181,279337338427,11/22/2017,2017-12-06,Nangal,1900-01-04,19:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,2,0,Head on,0,Intersection,Over Speeding,nangal,0,2,0,31.3933281,76.3814892,Muncipality Road,Muncipality Road,Urban,"31.3933281,76.3814892",14
215,215,216,184,"279,304-A,427",12/17/2017,2017-12-18,Nangal,1900-01-01,00:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Mid Block,Over Speeding,daroli,1,0,0,31.24105,76.4164432,Link Road,Link Road,Rural,"31.24105,76.4164432",1
216,216,217,185,279337338427,12/06/2017,2017-12-18,Nangal,1900-01-04,13:20:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit from Back,0,Intersection,Over Speeding,suksaal,0,1,0,31.406062,76.3427994,SH,SH-25,Rural,"31.406062,76.3427994",12
